Region,Year,Violence_Victims,Complaints,Funding_EUR,School_Leaving(%),Unemployment_Rate(%)
Castilla y Leon,2024,1879,6052,"€ 10,286,883.66",10.8,9.41
Castilla-La Mancha,2024,1889,6795,"€ 8,793,131.88",14.6,13.34
Cataluña,2024,2768,25489,"€ 18,061,671.23",13.7,8.9
Comunitat Valenciana,2024,4858,27708,"€ 12,424,158.77",12.9,12.63
Extremadura,2024,938,3299,"€ 6,448,400.99",13,15.51
Galicia,2024,1350,7602,"€ 11,006,654.26",10.8,9.38
Madrid,2024,3432,32004,"€ 15,024,803.30",10.5,8.98
Murcia,2024,1588,8046,"€ 4,767,878.55",18.2,12.73
Navarra,2024,426,3816, NaN ,9.9,7.64
País Vasco,2024,766,6675, NaN ,5,8.1
La Rioja,2024,358,1005,"€ 1,622,397.10",17,9.75
Ceuta,2024,115,330,"€ 1,611,857.02",14.6,27.41
Melilla,2024,170,407,"€ 1,622,397.10",26,28.32
